id,price,currency,qty
"НС-1088831","95990","руб.","1"
"НС-1088833","107990","руб.","1"
"НС-1088837","149990","руб.","1"
"НС-1088841","164800","руб.","1"
"НС-1088842","222700","руб.","1"
"НС-1088843","249400","руб.","1"
"НС-1090888","19600","руб.","1"
"НС-1090889","25800","руб.","1"
"НС-1088870","24990","руб.","1"
"НС-1088872","26990","руб.","1"
"НС-1088874","31990","руб.","1"
"НС-1088876","36990","руб.","1"
"НС-1088928","99000","руб.","1"
"НС-1088929","175000","руб.","1"
"НС-1088930","210000","руб.","1"
"НС-1038760","70800","руб.","1"
"НС-1038761","94600","руб.","1"
"НС-1038762","127000","руб.","1"
"НС-1038763","149000","руб.","1"
"НС-1038764","162000","руб.","1"
"ИНТ-22307","34000","руб.","1"
"ИНТ-22306","42000","руб.","1"
"ИНТ-22308","45300","руб.","1"
"ИНТ-22304","50000","руб.","1"
"ИНТ-22305","54000","руб.","1"
"ИНТ-22310","25500","руб.","1"
"ИНТ-22312","28500","руб.","1"
"ИНТ-22315","31900","руб.","1"
"ИНТ-22314","35800","руб.","1"
"ИНТ-22316","40000","руб.","1"
"ИНТ-22313","45000","руб.","1"
"ИНТ-22311","7000","руб.","1"
"ИНТ-22309","12000","руб.","1"
"ИНТ-22300","52600","руб.","1"
"ИНТ-22303","80600","руб.","1"
"ИНТ-22299","99000","руб.","1"
"ИНТ-22302","108000","руб.","1"
"НС-1063157","20990","руб.","1"
"НС-1063158","23990","руб.","1"
"НС-1108889","18900","руб.","1"
"НС-1108890","20900","руб.","1"
"НС-1108891","26900","руб.","1"
"НС-1108892","42900","руб.","1"
"НС-1108893","53500","руб.","1"
"НС-1108880","14175","руб.","1"
"НС-1108882","15675","руб.","1"
"НС-1108883","20175","руб.","1"
"НС-1108884","32175","руб.","1"
"НС-1108885","40125","руб.","1"
"НС-1108874","4725","руб.","1"
"НС-1108876","5225","руб.","1"
"НС-1108877","6725","руб.","1"
"НС-1108878","10725","руб.","1"
"НС-1108879","13375","руб.","1"
"НС-1121276","21900","руб.","1"
"НС-1121278","23500","руб.","1"
"НС-1121279","29500","руб.","1"
"НС-1121244","16425","руб.","1"
"НС-1121252","17625","руб.","1"
"НС-1121262","22125","руб.","1"
"НС-1121199","5475","руб.","1"
"НС-1121200","5875","руб.","1"
"НС-1121239","7375","руб.","1"
"НС-1121301","31500","руб.","1"
"НС-1121303","34700","руб.","1"
"НС-1121305","55800","руб.","1"
"НС-1121306","67400","руб.","1"
"НС-1121251","23625","руб.","1"
"НС-1121254","26025","руб.","1"
"НС-1121257","41850","руб.","1"
"НС-1121259","50550","руб.","1"
"НС-1121245","7875","руб.","1"
"НС-1121246","8675","руб.","1"
"НС-1121248","13950","руб.","1"
"НС-1121249","16850","руб.","1"
"НС-1087484","13100","руб.","1"
"НС-1087497","13700","руб.","1"
"НС-1087498","14700","руб.","1"
"НС-1087500","18800","руб.","1"
"НС-1087512","25000","руб.","1"
"НС-1087514","27000","руб.","1"
"НС-1087516","31500","руб.","1"
"НС-1087502","23900","руб.","1"
"НС-1087503","27200","руб.","1"
"НС-1087478","63500","руб.","1"
"НС-1087479","68500","руб.","1"
"НС-1087480","87000","руб.","1"
"НС-1124412","104000","руб.","1"
"НС-1087481","104000","руб.","1"
"НС-1087482","134000","руб.","1"
"НС-1087483","162000","руб.","1"
"НС-1088233","47400","руб.","1"
"НС-1088240","89400","руб.","1"
"НС-1088245","99000","руб.","1"
"НС-1088225","31600","руб.","1"
"НС-1088238","59600","руб.","1"
"НС-1088242","66000","руб.","1"
"НС-1088247","79000","руб.","1"
"НС-1088248","149000","руб.","1"
"НС-1088249","165000","руб.","1"
"НС-1120747","65000","руб.","1"
"НС-1120750","83500","руб.","1"
"НС-1120751","114000","руб.","1"
"НС-1120752","134000","руб.","1"
"НС-1120753","144000","руб.","1"
"НС-1120715","62000","руб.","1"
"НС-1120758","67000","руб.","1"
"НС-1120759","86000","руб.","1"
"НС-1120760","117500","руб.","1"
"НС-1120761","138000","руб.","1"
"НС-1120762","146500","руб.","1"
"НС-1037861","630","$","1"
"НС-1037065","630","$","1"
"НС-1037084","819","$","1"
"НС-1037085","1365","$","1"
"НС-1037087","1659","$","1"
"НС-1037088","1785","$","1"
