url;price;currencyId;categoryId;picture;name;category1;category2;category3;category4;category5;category6;category7;Бренд;Холодопроизводительность (кВт);Теплопроизводительность (кВт);Тип Кондиционера;Артикул;Тип Блока;Тип Хладоагента;Инверторное управление;Класс Энергоэфективности: Охлаждение;Класс Энергоэфективности: Обогрев;Потребляемая мощность: Охлаждение (кВт);Потребляемая мощность: Обогрев (кВт);Рабочий Ток: Охлаждение (А);Рабочий Ток: Обогрев (А);Размер НЕТТО: Высота (мм);Размер НЕТТО: Ширина (мм);Размер НЕТТО: Глубина (мм);Вес НЕТТО (кг);Рабочий уровень шума (дБ);Источник питания;Размер соед. Труб: фаза - Жидкость;Размер соед. Труб: фаза - Газ;Допустимая уличная Температура: Охлаждение (°С);Допустимая уличная Температура: Обогрев (°С);Максимальная длина трассы (м);Максимальный перепад высот (м);Тип вн. Блока;Маркетинговые баллы;Наличие Пульта Управления
"http://b2b.optim-m.ru/catalog/luvh/38luvh050k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/2cb/2cb56dbf66c5468c0ef31f5c3bbbb29b.jpeg";"38LUVH050K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"5";"5.3";"Бытовой-Сплит";"000001323";"Наружный";"R410A";"Да";"A";"A";"1.51";"1.6";"";"";"590";"760";"285";"40.5";"57";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"18";"-15";"15";"8";"";"50";""
"http://b2b.optim-m.ru/catalog/luvh/38luvh060k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/7d0/7d08a8e42ae387a062476fbb700df899.jpeg";"38LUVH060K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"6";"6.3";"Бытовой-Сплит";"000001324";"Наружный";"R410A";"Да";"B";"B";"1.88";"1.94";"";"";"695";"845";"335";"57";"57";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"";"50";""
"http://b2b.optim-m.ru/catalog/luvh/38luvh070k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/e63/e63037a417f3eed201fd60ddf35df03e.jpeg";"38LUVH070K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"6.75";"7.3";"Бытовой-Сплит";"000001325";"Наружный";"R410A";"Да";"A";"A";"2.05";"2.27";"";"";"860";"895";"330";"63.5";"58";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"";"50";""
"http://b2b.optim-m.ru/catalog/luvh/38luvh080k_vneshniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/9b7/9b713cfe420091a047762a5ccf7838c6.jpeg";"38LUVH080K Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"8";"8.5";"Бытовой-Сплит";"000001487";"Наружный";"R410A";"Да";"A";"A";"2.48";"2.62";"";"";"860";"895";"330";"76";"59";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh026k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/cfd/cfdf77c2998153b4e8deecfa806c3297.jpeg";"42LUVH026K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"2.6";"2.9";"Бытовой-Сплит";"000001315";"Внутренний";"R410A";"Да";"A";"A";"0.69";"0.77";"";"";"265";"790";"195";"9";"29";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"18";"-15";"10";"5";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh034k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/64d/64dc769c27f21e0321f90194f07aee8b.jpeg";"42LUVH034K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"3.5";"3.8";"Бытовой-Сплит";"000001318";"Внутренний";"R410A";"Да";"A";"A";"0.93";"1.01";"";"";"292";"920";"225";"11.5";"30";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"18";"-15";"10";"5";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh050k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/d53/d538163ee651734ba2e42d15e1b6f14d.jpeg";"42LUVH050K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"5";"5.3";"Бытовой-Сплит";"000001319";"Внутренний";"R410A";"Да";"A";"A";"1.51";"1.6";"";"";"292";"920";"225";"12";"35";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"18";"-15";"15";"8";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh060k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/610/61036ed7c8947005325ee70cb200d327.jpeg";"42LUVH060K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"6";"6.3";"Бытовой-Сплит";"000001320";"Внутренний";"R410A";"Да";"B";"B";"1.88";"1.94";"";"";"330";"1080";"228";"14.5";"38";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh070k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/9de/9de7acba148e8bd467199830e13ca6db.jpeg";"42LUVH070K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"6.75";"7.3";"Бытовой-Сплит";"000001321";"Внутренний";"R410A";"Да";"A";"A";"2.05";"2.27";"";"";"330";"1080";"228";"15";"39";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/luvh/42luvh080k_vnutrenniy_blok_tm_carrier/";"0";"RUR";"551";"http://pt.loc/image/providers/optim/picture/502/502a4bf93acb59e7910a66219b6642ad.jpeg";"42LUVH080K Внутренний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"LUVH";"";"";"Carrier";"8";"8.5";"Бытовой-Сплит";"000001400";"Внутренний";"R410A";"Да";"A";"A";"2.48";"2.62";"";"";"325";"1250";"230";"17.5";"42";"Однофазный (220В, 50Hz)";"9,52 (3/8)";"15,88 (5/8)";"18";"-15";"20";"10";"Настенные";"50";""
