id,price,currency,qty
"ИНТ-22391","4550","руб.","99"
"ИНТ-22392","4875","руб.","99"
"ИНТ-22393","6275","руб.","99"
"ИНТ-22394","10375","руб.","99"
"ИНТ-22395","12475","руб.","99"
"ИНТ-22396","300","$","99"
"ИНТ-22181","23000","руб.","99"
"ИНТ-22182","24000","руб.","99"
"ИНТ-22183","28000","руб.","99"
"ИНТ-22184","875","$","99"
"ИНТ-22185","1025","$","99"
"ИНТ-22375","17250","руб.","99"
"ИНТ-22376","18000","руб.","99"
"ИНТ-22377","21000","руб.","99"
"ИНТ-22378","656.25","$","99"
"ИНТ-22379","768.75","$","99"
"ИНТ-22380","5750","руб.","99"
"ИНТ-22381","6000","руб.","99"
"ИНТ-22382","7000","руб.","99"
"ИНТ-22383","218.75","$","99"
"ИНТ-22384","256.25","$","99"
"ИНТ-22351","224.25","$","99"
"ИНТ-22352","239.25","$","99"
"ИНТ-22353","291.75","$","99"
"ИНТ-22354","464.25","$","99"
"ИНТ-22355","591.75","$","99"
"ИНТ-22356","786.75","$","99"
"ИНТ-22357","74.75","$","99"
"ИНТ-22358","79.75","$","99"
"ИНТ-22359","97.25","$","99"
"ИНТ-22360","154.75","$","99"
"ИНТ-22361","197.25","$","99"
"ИНТ-22362","262.25","$","99"
"НС-0024040","967.5","$","99"
"НС-0024039","322.5","$","99"
"НС-0024061","440","$","99"
"НС-0024062","373","$","99"
"НС-0024063","410","$","99"
"НС-0024064","467","$","99"
"НС-0024065","790","$","99"
"НС-0024066","1025","$","99"
"НС-0024059","1290","$","99"
"НС-1116949","33000","руб.","99"
"НС-1116982","35000","руб.","99"
"НС-1116961","36700","руб.","99"
"НС-1116988","38000","руб.","99"
"НС-1116964","58000","руб.","99"
"НС-1116972","70500","руб.","99"
"НС-1116970","24500","руб.","99"
"НС-1117014","64500","руб.","99"
"НС-1121112","38000","руб.","99"
"НС-1121113","40000","руб.","99"
"НС-1121114","59000","руб.","99"
"НС-1121116","72500","руб.","99"
"НС-1065338","330","$","99"
"НС-1065341","375","$","99"
"НС-1065344","600","$","99"
"НС-1065304","110","$","99"
"НС-1065305","125","$","99"
"НС-1065336","200","$","99"
"НС-1065355","20625","руб.","99"
"НС-1065356","23175","руб.","99"
"НС-1065363","40875","руб.","99"
"НС-1065390","50175","руб.","99"
"НС-1088194","6375","руб.","99"
"НС-1065351","6875","руб.","99"
"НС-1065352","7725","руб.","99"
"НС-1065353","13625","руб.","99"
"НС-1065354","16725","руб.","99"
"НС-1088196","25500","руб.","99"
"ИНТ-22348","345","$","99"
"ИНТ-22343","390","$","99"
"ИНТ-22346","615","$","99"
"ИНТ-22344","765","$","99"
"ИНТ-22349","115","$","99"
"ИНТ-22345","130","$","99"
"ИНТ-22350","205","$","99"
"ИНТ-22347","255","$","99"
"ИНТ-22191","460","$","99"
"ИНТ-22192","520","$","99"
"ИНТ-22193","820","$","99"
"ИНТ-22194","1020","$","99"
"ИНТ-22083","345","$","99"
"ИНТ-22082","405","$","99"
"ИНТ-22084","611.25","$","99"
"ИНТ-22087","840","$","99"
"ИНТ-22081","115","$","99"
"ИНТ-22080","135","$","99"
"ИНТ-22085","203.75","$","99"
"ИНТ-22086","280","$","99"
"НС-0077463","14175","руб.","99"
"НС-0077467","15675","руб.","99"
"НС-0077470","23175","руб.","99"
"НС-0077473","29925","руб.","99"
"НС-0077455","22493","руб.","99"
"НС-0077460","25493","руб.","99"
"НС-0077464","4725","руб.","99"
"НС-0077466","5225","руб.","99"
"НС-0077469","7725","руб.","99"
"НС-0077472","9975","руб.","99"
"НС-0077454","7498","руб.","99"
"НС-0077459","8498","руб.","99"
